0.02;0.049;0.984;3.465;-4.655;-5.81;1001.641;0.87
0.014;0.053;1.013;3.535;-4.62;-3.885;1001.763;0.097
0.014;0.033;0.987;3.5;-4.025;-6.195;1001.763;-0.144
0.002;0.062;0.988;3.185;-4.13;-4.48;1001.719;0.191
0.024;0.061;0.99;3.5;-4.62;-5.74;1001.719;0.213
0.009;0.062;1.102;3.64;-4.13;-7.21;1001.79;-0.347
0.002;0.06;0.987;3.22;-4.025;-5.355;1001.74;0.004
-0.018;0.061;0.885;2.695;-3.885;-6.16;1001.74;0.028
0.047;0.169;0.967;2.625;-4.235;-4.795;1001.769;-0.203
0.017;0.054;0.983;2.555;-4.62;-6.615;1001.701;0.327
0.001;0.03;0.972;3.57;-4.165;-7.14;1001.701;0.36
0.003;0.116;1.035;3.22;-4.025;-6.23;1001.712;0.271
0.015;0.048;0.97;3.535;-3.85;-8.4;1001.639;0.729
0.046;0.196;0.988;2.205;-3.99;-3.745;1001.639;0.873
-0.127;0.104;1.286;4.935;8.82;-6.3;1001.741;0.036
0.241;0.152;3.709;24.29;-6.37;12.705;1001.739;0.038
-0.075;0.234;6.312;15.12;-44.905;42.49;1001.739;0.042
0.054;0.242;12.966;-24.08;-35.175;63.525;1001.795;-0.404
-0.872;1.24;15.989;-8.855;-15.575;66.045;1001.789;-0.39
-1.863;1.687;15.989;42.035;82.635;2.975;1001.789;-0.378
4.964;-3.138;15.989;286.685;143.325;140.56;1001.659;0.648
0.133;0.003;15.989;-62.93;1.47;-33.425;1001.659;0.712
-1.104;2.073;15.989;-55.265;-15.505;-131.11;1001.742;0.03
0.391;1.926;15.989;-112.035;19.705;-120.855;1001.824;-0.632
3.689;3.407;15.989;51.45;143.325;-148.61;1001.619;0.62
0.073;1.215;8.332;-114.1;140.665;-47.425;1001.619;1.024
0.915;0.252;7.294;112.245;23.905;-109.62;1001.784;-0.252
-1.201;0.237;2.048;79.065;20.335;-4.27;1000.978;6.027
-0.159;-0.892;1.658;91.105;-10.99;39.305;1000.978;6.425
0.361;-0.839;3.402;59.465;11.48;59.255;999.595;17.381
0.205;-0.117;1.561;-5.74;11.62;128.87;998.447;27.644
0.172;0.162;1.683;-39.865;10.57;136.745;997.702;33.693
0.492;0.706;0.63;-38.5;25.55;75.355;997.354;36.845
0.11;0.059;-0.785;6.65;-19.46;40.53;996.532;42.228
0.373;-0.305;0.654;-18.375;-38.85;43.435;996.532;43.867
-0.413;0.429;0.202;3.36;22.89;50.12;994.534;58.892
-0.39;0.522;0.097;35.945;-7.84;46.165;994.534;60.758
-0.268;0.296;-0.026;53.235;35.7;51.835;993.615;68.178
0.003;-0.072;0.081;2.835;-5.985;35.665;992.544;77.608
0.171;-0.076;-0.121;7.28;-8.05;25.725;991.584;85.38
-0.058;-0.15;-0.44;-10.185;-20.335;27.405;990.704;92.904
-0.243;0.109;-0.377;-2.205;-17.08;35.21;989.646;101.793
0.02;0.556;-0.293;-16.345;-6.93;35.98;989.646;102.327
-0.133;-0.065;-0.163;13.475;-12.425;42.035;987.798;116.116
-0.066;0.039;-0.249;25.41;10.745;41.125;987.798;117.968
-0.086;-0.119;-0.209;4.865;-0.805;32.165;986.737;126.56
-0.076;-0.04;-0.306;9.765;4.2;61.67;985.849;134.223
0.097;-0.2;0.02;3.22;-8.33;59.185;984.902;140.732
-0.041;-0.122;-0.381;5.215;16.905;57.505;984.009;148.492
0.054;-0.002;-0.436;-21.035;6.475;44.485;983.228;155.383
0.134;0.12;-0.398;-4.48;-2.87;38.185;983.228;156.977
-0.061;0.11;-0.301;-6.825;-3.99;35.175;982.326;164.672
-0.043;0.265;-0.442;8.61;-2.66;35.63;981.538;171.117
-0.145;-0.116;-0.265;-5.11;-1.26;36.645;980.604;177.512
-0.013;-0.171;-0.284;14.84;-3.675;42.14;979.699;185.346
0.034;-0.264;-0.39;-7.35;4.97;41.825;979.699;187.263
0.036;0.136;-0.235;-1.89;4.375;38.29;978.087;199.344
0.015;0.026;-0.361;-7.42;-3.57;37.625;978.087;201.009
0.035;0.102;-0.245;11.305;-11.585;31.15;977.298;207.467
0.021;-0.001;-0.287;21.28;-2.835;32.62;976.416;215.358
0.142;-0.058;-0.358;-0.805;-5.11;32.025;975.822;219.3
-0.101;0.046;-0.249;6.125;-1.54;26.425;975.822;220.563
0.038;-0.032;-0.246;6.44;0.63;32.515;974.165;232.9
-0.005;-0.046;-0.362;4.725;-6.02;35.14;974.165;234.816
0.008;0.003;-0.339;6.79;-2.87;34.405;972.661;246.109
0.061;0.006;-0.197;-8.225;-0.735;35.28;972.661;247.698
0.106;0.16;-0.055;7.805;-14.91;24.815;971.938;252.471
0.31;0.254;-0.117;-4.34;20.3;18.235;971.881;254.533
0.449;-1.312;-0.156;32.865;13.615;30.87;971.74;255.672
-0.311;0.048;0.111;15.505;10.675;29.505;971.358;258.219
-0.57;-0.134;-0.559;-15.995;30.52;30.66;970.607;263.893
0.327;-0.507;-0.01;3.675;-5.915;35.0;970.607;265.501
0.041;0.02;-0.286;3.71;1.225;33.6;970.005;270.649
0.108;0.136;-0.186;0.105;3.15;30.765;969.327;276.22
0.056;0.137;-0.363;8.785;-1.435;27.09;968.568;281.513
0.137;-0.05;-0.429;5.285;-2.765;20.86;968.568;283.135
0.052;0.12;-0.244;10.71;-10.325;22.645;968.021;287.591
0.02;0.032;-0.29;3.85;-13.405;20.79;967.3;292.556
-0.104;0.04;-0.404;7.175;-11.83;21.315;966.543;299.047
-0.039;-0.041;-0.312;3.71;-6.86;22.155;966.543;300.589
0.043;0.005;-0.271;2.66;-0.84;24.395;965.891;305.995
-0.175;0.007;-0.128;0.595;1.575;28.35;965.173;312.18
-0.082;-0.03;-0.325;-0.63;1.54;29.26;965.173;312.55
0.068;-0.039;-0.177;5.53;3.185;31.815;964.631;317.204
0.001;0.08;-0.152;0.49;3.185;30.73;964.119;321.442
-0.038;0.004;-0.189;5.355;-8.715;28.315;963.481;325.876
0.056;0.059;-0.366;4.9;-8.505;23.45;963.481;327.244
0.127;0.032;-0.19;7.455;-6.79;23.765;962.938;331.691
0.046;0.123;-0.183;8.82;-5.81;20.965;962.272;337.683
-0.064;-0.097;-0.232;8.295;-6.72;20.16;961.763;341.09
0.004;0.006;-0.191;13.09;-9.38;19.985;961.763;342.134
-0.122;0.024;-0.214;-0.56;-4.62;23.24;961.113;347.773
-0.049;-0.041;-0.257;3.605;-5.74;26.495;960.538;352.561
-0.032;0.03;-0.092;5.25;-4.13;27.265;960.538;352.856
0.039;0.048;-0.124;3.43;-1.68;27.265;960.03;357.233
0.042;-0.045;-0.204;2.765;-0.42;27.475;959.587;361.1
0.051;0.008;-0.192;3.36;0.525;25.48;958.996;365.994
-0.032;-0.001;-0.217;4.795;-0.42;25.62;958.526;369.383
0.07;-0.005;-0.101;6.79;0.28;25.235;958.526;370.347
0.024;-0.013;-0.058;6.65;-1.785;23.975;958.113;373.965
0.045;0.115;-0.067;0.56;-3.43;23.485;957.673;377.619
0.081;0.061;-0.214;9.555;-4.935;21.665;957.116;381.492
0.073;0.004;-0.157;12.285;-7.175;20.44;957.116;382.704
-0.017;-0.027;-0.063;9.52;-5.565;20.125;956.707;386.074
-0.006;0.032;-0.134;8.82;-6.335;19.67;956.707;386.285
-0.015;0.017;-0.01;4.585;-6.02;20.195;956.199;390.668
-0.054;-0.011;-0.12;5.81;-5.915;20.37;955.784;394.136
0.013;-0.015;-0.11;2.94;-4.235;22.575;955.784;394.353
0.066;-0.013;-0.128;2.45;-4.76;22.05;955.347;397.952
0.016;0.008;-0.129;0.665;-5.81;19.74;954.875;402.056
0.061;-0.001;-0.184;2.87;-5.95;17.64;954.875;402.302
0.055;0.022;-0.151;2.38;-6.125;16.24;954.561;405.029
0.027;0.02;-0.087;3.675;-6.02;14.91;954.071;408.29
-0.097;0.005;-0.056;4.725;-6.51;14.315;954.071;409.299
0.025;-0.055;-0.087;5.075;-7.595;12.32;953.736;412.249
0.042;0.055;-0.071;6.755;-9.275;13.02;953.447;414.194
-0.019;-0.018;-0.073;4.48;-8.435;12.215;953.447;414.791
-0.019;0.12;-0.031;5.46;-9.135;12.18;953.182;417.116
-0.011;-0.006;-0.108;5.81;-9.24;9.73;952.687;420.406
0.024;-0.021;-0.05;6.16;-9.03;10.045;952.687;421.425
-0.002;0.0;-0.067;6.895;-8.925;10.955;952.331;424.419
0.099;0.072;-0.057;8.505;-9.1;10.22;951.993;426.826
0.035;-0.001;-0.08;9.03;-9.45;12.145;951.993;427.533
0.109;-0.003;-0.079;9.135;-9.45;11.83;951.625;430.604
0.038;0.015;-0.112;8.855;-10.115;9.94;951.352;432.602
0.094;-0.007;-0.078;7.245;-10.85;9.59;951.352;433.167
-0.0;-0.0;-0.077;6.755;-11.375;10.045;951.032;435.968
0.023;0.023;-0.07;7.35;-11.06;9.38;950.762;437.79
-0.123;0.021;-0.044;6.335;-10.85;10.185;950.445;440.466
-0.003;0.032;-0.11;5.775;-10.43;10.29;950.445;441.128
-0.121;0.021;-0.068;5.005;-9.415;10.325;950.16;443.518
0.018;0.014;-0.072;5.18;-9.415;8.96;949.879;445.986
-0.018;0.12;-0.041;5.04;-9.24;17.675;949.703;447.294
-0.012;0.023;-0.078;3.535;-8.925;9.66;949.703;447.684
0.002;0.02;-0.051;4.27;-8.155;11.06;949.076;452.54
0.01;0.004;-0.09;4.27;-7.21;9.975;949.076;453.163
0.013;0.002;-0.051;5.145;-6.825;10.15;948.882;454.883
0.031;0.0;-0.073;4.55;-6.37;11.025;948.696;456.445
0.014;0.028;-0.049;4.83;-6.79;9.87;948.393;458.543
0.017;0.014;-0.062;4.795;-7.42;17.535;948.215;460.391
0.019;0.007;-0.043;4.445;-7.7;16.66;948.215;460.761
-0.002;0.0;-0.036;4.41;-8.365;7.7;948.1;461.775
0.039;0.02;-0.047;4.095;-7.7;8.12;947.793;464.451
0.026;0.011;-0.009;4.62;-8.785;6.72;947.695;465.142
0.028;0.034;-0.041;4.375;-10.64;3.99;947.462;467.282
0.018;0.03;-0.028;4.9;-11.55;2.835;947.266;468.704
0.029;0.027;-0.005;4.305;-12.04;1.925;947.266;469.111
0.049;0.0;-0.024;4.41;-12.88;2.415;947.075;470.794
0.025;0.115;-0.03;4.445;-13.755;1.89;947.005;471.432
0.038;0.017;-0.054;4.585;-14.91;0.35;946.815;472.692
0.033;0.04;-0.016;4.305;-16.73;-3.36;946.845;472.864
0.029;0.036;-0.022;4.13;-18.165;-4.06;946.845;472.85
0.045;0.022;-0.008;5.495;-20.02;-6.195;946.445;476.291
0.048;0.021;-0.041;5.88;-20.615;-7.035;946.445;476.369
