pref;uptime;ax;ay;az;gx;gy;gz;mx;my;mz;pressure;altitude;tempreature;simulation;one;two;three;four;five;six;seven;eight
DAT;205353; 0.003; -0.072; 0.081; 2.835; -5.985; 35.665; -0.890; 0.586; -3.002; 992.544; 77.608; -2; 735.523; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205399; 0.171; -0.076; -0.121; 7.280; -8.050; 25.725; -0.863; 0.577; -3.002; 991.584; 85.380; -2; 669.390; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205489; -0.058; -0.150; -0.440; -10.185; -20.335; 27.405; -0.860; 0.580; -2.996; 990.704; 92.904; -2; 861.666; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205555; -0.243; 0.109; -0.377; -2.205; -17.080; 35.210; -0.860; 0.580; -2.996; 989.646; 101.793; -2; 127.292; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205599; 0.020; 0.556; -0.293; -16.345; -6.930; 35.980; -0.859; 0.581; -3.007; 989.646; 102.327; -2; 755.975; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205687; -0.133; -0.065; -0.163; 13.475; -12.425; 42.035; -0.844; 0.584; -3.004; 987.798; 116.116; -2; 1072.829; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205731; -0.066; 0.039; -0.249; 25.410; 10.745; 41.125; -0.844; 0.584; -3.004; 987.798; 117.968; -2; 810.024; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205799; -0.086; -0.119; -0.209; 4.865; -0.805; 32.165; -0.824; 0.571; -3.000; 986.737; 126.560; -2; 851.894; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205887; -0.076; -0.040; -0.306; 9.765; 4.200; 61.670; -0.804; 0.566; -3.006; 985.849; 134.223; -2; 761.452; 0; 1; 0; 0; 0; 0; 0; 0
DAT;205935; 0.097; -0.200; 0.020; 3.220; -8.330; 59.185; -0.804; 0.566; -3.006; 984.902; 140.732; -2; 184.934; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206023; -0.041; -0.122; -0.381; 5.215; 16.905; 57.505; -0.781; 0.553; -2.995; 984.009; 148.492; -2; 798.319; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206089; 0.054; -0.002; -0.436; -21.035; 6.475; 44.485; -0.756; 0.547; -3.004; 983.228; 155.383; -2; 882.181; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206133; 0.134; 0.120; -0.398; -4.480; -2.870; 38.185; -0.756; 0.547; -3.004; 983.228; 156.977; -2; 791.635; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206221; -0.061; 0.110; -0.301; -6.825; -3.990; 35.175; -0.737; 0.536; -2.995; 982.326; 164.672; -2; 706.206; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206287; -0.043; 0.265; -0.442; 8.610; -2.660; 35.630; -0.725; 0.525; -2.988; 981.538; 171.117; -2; 628.442; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206331; -0.145; -0.116; -0.265; -5.110; -1.260; 36.645; -0.725; 0.525; -2.988; 980.604; 177.512; -2; 206.636; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206419; -0.013; -0.171; -0.284; 14.840; -3.675; 42.140; -0.710; 0.509; -3.003; 979.699; 185.346; -2; 711.306; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206487; 0.034; -0.264; -0.390; -7.350; 4.970; 41.825; -0.698; 0.502; -2.998; 979.699; 187.263; -2; 950.807; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206575; 0.036; 0.136; -0.235; -1.890; 4.375; 38.290; -0.698; 0.502; -2.998; 978.087; 199.344; -2; 794.792; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206619; 0.015; 0.026; -0.361; -7.420; -3.570; 37.625; -0.688; 0.490; -2.998; 978.087; 201.009; -2; 571.274; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206685; 0.035; 0.102; -0.245; 11.305; -11.585; 31.150; -0.678; 0.479; -2.996; 977.298; 207.467; -2; 783.023; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206773; 0.021; -0.001; -0.287; 21.280; -2.835; 32.620; -0.678; 0.479; -2.996; 976.416; 215.358; -2; 236.306; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206817; 0.142; -0.058; -0.358; -0.805; -5.110; 32.025; -0.669; 0.462; -2.987; 975.822; 219.300; -2; 751.063; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206883; -0.101; 0.046; -0.249; 6.125; -1.540; 26.425; -0.665; 0.450; -2.993; 975.822; 220.563; -2; 911.127; 0; 1; 0; 0; 0; 0; 0; 0
DAT;206971; 0.038; -0.032; -0.246; 6.440; 0.630; 32.515; -0.665; 0.450; -2.993; 974.165; 232.900; -2; 509.297; 0; 1; 0; 0; 0; 0; 0; 0
DAT;207039; -0.005; -0.046; -0.362; 4.725; -6.020; 35.140; -0.657; 0.438; -2.994; 974.165; 234.816; -2; 557.939; 0; 1; 0; 0; 0; 0; 0; 0
DAT;207131; 0.008; 0.003; -0.339; 6.790; -2.870; 34.405; -0.657; 0.418; -2.990; 972.661; 246.109; -2; 849.988; 0; 1; 0; 0; 0; 0; 0; 0
DAT;207177; 0.061; 0.006; -0.197; -8.225; -0.735; 35.280; -0.654; 0.407; -2.985; 972.661; 247.698; -2; 274.232; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207224; 0.106; 0.160; -0.055; 7.805; -14.910; 24.815; -0.654; 0.407; -2.985; 971.938; 252.471; -2; 675.060; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207356; 0.310; 0.254; -0.117; -4.340; 20.300; 18.235; -0.708; 0.421; -2.975; 971.881; 254.533; -2; 744.770; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207403; 0.449; -1.312; -0.156; 32.865; 13.615; 30.870; -0.701; 0.417; -2.977; 971.740; 255.672; -2; 680.855; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207469; -0.311; 0.048; 0.111; 15.505; 10.675; 29.505; -0.701; 0.417; -2.977; 971.358; 258.219; -2; 262.745; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207535; -0.570; -0.134; -0.559; -15.995; 30.520; 30.660; -0.711; 0.423; -2.947; 970.607; 263.893; -2; 264.760; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207601; 0.327; -0.507; -0.010; 3.675; -5.915; 35.000; -0.782; 0.400; -2.903; 970.607; 265.501; -2; 256.745; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207667; 0.041; 0.020; -0.286; 3.710; 1.225; 33.600; -0.782; 0.400; -2.903; 970.005; 270.649; -2; 383.542; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207711; 0.108; 0.136; -0.186; 0.105; 3.150; 30.765; -0.702; 0.539; -2.897; 969.327; 276.220; -2; 766.819; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207777; 0.056; 0.137; -0.363; 8.785; -1.435; 27.090; -0.716; 0.315; -2.836; 968.568; 281.513; -2; 568.471; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207843; 0.137; -0.050; -0.429; 5.285; -2.765; 20.860; -0.716; 0.315; -2.836; 968.568; 283.135; -2; 685.210; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207887; 0.052; 0.120; -0.244; 10.710; -10.325; 22.645; -0.719; 0.311; -2.816; 968.021; 287.591; -2; 619.116; 85; 2; 0; 0; 0; 0; 0; 0
DAT;207931; 0.020; 0.032; -0.290; 3.850; -13.405; 20.790; -0.719; 0.311; -2.816; 967.300; 292.556; -2; 313.390; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208019; -0.104; 0.040; -0.404; 7.175; -11.830; 21.315; -0.732; 0.296; -2.818; 966.543; 299.047; -2; 550.292; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208063; -0.039; -0.041; -0.312; 3.710; -6.860; 22.155; -0.732; 0.296; -2.818; 966.543; 300.589; -2; 763.309; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208129; 0.043; 0.005; -0.271; 2.660; -0.840; 24.395; -0.741; 0.283; -2.831; 965.891; 305.995; -2; 772.318; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208195; -0.175; 0.007; -0.128; 0.595; 1.575; 28.350; -0.746; 0.271; -2.861; 965.173; 312.180; -2; 563.988; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208239; -0.082; -0.030; -0.325; -0.630; 1.540; 29.260; -0.746; 0.271; -2.861; 965.173; 312.550; -2; 756.485; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208308; 0.068; -0.039; -0.177; 5.530; 3.185; 31.815; -0.751; 0.264; -2.913; 964.631; 317.204; -2; 340.033; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208354; 0.001; 0.080; -0.152; 0.490; 3.185; 30.730; -0.751; 0.264; -2.913; 964.119; 321.442; -2; 559.714; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208420; -0.038; 0.004; -0.189; 5.355; -8.715; 28.315; -0.757; 0.250; -2.964; 963.481; 325.876; -2; 528.806; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208486; 0.056; 0.059; -0.366; 4.900; -8.505; 23.450; -0.756; 0.241; -3.012; 963.481; 327.244; -2; 660.924; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208530; 0.127; 0.032; -0.190; 7.455; -6.790; 23.765; -0.756; 0.241; -3.012; 962.938; 331.691; -2; 510.166; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208620; 0.046; 0.123; -0.183; 8.820; -5.810; 20.965; -0.772; 0.226; -3.025; 962.272; 337.683; -2; 702.408; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208667; -0.064; -0.097; -0.232; 8.295; -6.720; 20.160; -0.772; 0.226; -3.019; 961.763; 341.090; -2; 358.865; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208711; 0.004; 0.006; -0.191; 13.090; -9.380; 19.985; -0.786; 0.217; -3.019; 961.763; 342.134; -2; 358.865; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208777; -0.122; 0.024; -0.214; -0.560; -4.620; 23.240; -0.791; 0.211; -3.028; 961.113; 347.773; -2; 571.764; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208843; -0.049; -0.041; -0.257; 3.605; -5.740; 26.495; -0.791; 0.211; -3.028; 960.538; 352.561; -2; 731.888; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208887; -0.032; 0.030; -0.092; 5.250; -4.130; 27.265; -0.809; 0.197; -3.024; 960.538; 352.856; -2; 627.781; 85; 2; 0; 0; 0; 0; 0; 0
DAT;208953; 0.039; 0.048; -0.124; 3.430; -1.680; 27.265; -0.809; 0.197; -3.024; 960.030; 357.233; -2; 512.442; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209019; 0.042; -0.045; -0.204; 2.765; -0.420; 27.475; -0.813; 0.192; -3.027; 959.587; 361.100; -2; 549.607; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209085; 0.051; 0.008; -0.192; 3.360; 0.525; 25.480; -0.824; 0.183; -3.020; 958.996; 365.994; -2; 371.750; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209151; -0.032; -0.001; -0.217; 4.795; -0.420; 25.620; -0.824; 0.183; -3.020; 958.526; 369.383; -2; 678.110; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209198; 0.070; -0.005; -0.101; 6.790; 0.280; 25.235; -0.832; 0.176; -3.012; 958.526; 370.347; -2; 526.141; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209264; 0.024; -0.013; -0.058; 6.650; -1.785; 23.975; -0.832; 0.176; -3.011; 958.113; 373.965; -2; 530.822; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209330; 0.045; 0.115; -0.067; 0.560; -3.430; 23.485; -0.844; 0.168; -3.011; 957.673; 377.619; -2; 490.335; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209374; 0.081; 0.061; -0.214; 9.555; -4.935; 21.665; -0.855; 0.165; -3.013; 957.116; 381.492; -2; 490.335; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209440; 0.073; 0.004; -0.157; 12.285; -7.175; 20.440; -0.855; 0.165; -3.013; 957.116; 382.704; -2; 634.613; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209484; -0.017; -0.027; -0.063; 9.520; -5.565; 20.125; -0.873; 0.155; -3.017; 956.707; 386.074; -2; 399.452; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209528; -0.006; 0.032; -0.134; 8.820; -6.335; 19.670; -0.873; 0.155; -3.017; 956.707; 386.285; -2; 534.550; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209594; -0.015; 0.017; -0.010; 4.585; -6.020; 20.195; -0.880; 0.145; -3.017; 956.199; 390.668; -2; 602.759; 85; 2; 0; 0; 0; 0; 0; 0
DAT;209638; -0.054; -0.011; -0.120; 5.810; -5.915; 20.370; -0.880; 0.145; -3.017; 955.784; 394.136; -2; 602.759; 85; 2; 0; 0; 0; 0; 0; 0
